icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,country,trajectory_id,is_spoofed,spoof_category
00830b,ZSHIE,South Africa,1746144000.0,1746144000.0,18.4298,-33.8948,60.96,False,34.98,28.07,0.0,,760.96,,False,0,South Africa,00830b_e8844830,0,
00830b,ZSHIE,South Africa,1746144118.0,1746144118.0,18.4019,-33.8882,457.2,False,43.38,236.12,0.0,,1157.2,,False,0,South Africa,00830b_e8844830,0,
00830b,ZSHIE,South Africa,1746144243.0,1746144243.0,18.3608,-33.9269,685.8,False,50.63,217.57,0.0,,1385.8,,False,0,South Africa,00830b_e8844830,0,
00830b,ZSHIE,South Africa,1746144359.0,1746144359.0,18.368,-33.9355,579.12,False,49.58,22.57,0.0,,1279.12,,False,0,South Africa,00830b_e8844830,0,
00830b,ZSHIE,South Africa,1746144483.0,1746144483.0,18.407,-33.8942,464.82,False,44.47,60.17,0.0,,1164.82,,False,0,South Africa,00830b_e8844830,0,
00830b,ZSHIE,South Africa,1746144603.0,1746144603.0,18.4343,-33.8998,38.1,False,26.56,278.91,0.0,,738.1,,False,0,South Africa,00830b_e8844830,0,
00830b,ZSHIE,South Africa,1746144634.0,1746144634.0,18.428,-33.9006,-30.48,False,13.39,267.8,0.0,,669.52,,False,0,South Africa,00830b_e8844830,0,
00864b,ZSCJI,South Africa,1747008000.0,1747008000.0,30.1118,-26.5692,10934.7,False,146.73,217.59,0.0,,11634.7,,False,0,South Africa,00864b_bd003132,0,
00864b,ZSCJI,South Africa,1747008123.0,1747008123.0,29.9972,-26.7015,10988.04,False,157.65,217.84,0.0,,11688.04,,False,0,South Africa,00864b_bd003132,0,
00864b,ZSCJI,South Africa,1747008243.0,1747008243.0,29.8824,-26.8426,10988.04,False,163.99,215.04,0.0,,11688.04,,False,0,South Africa,00864b_bd003132,0,
00864b,ZSCJI,South Africa,1747008368.0,1747008368.0,29.754,-26.9906,10965.18,False,168.16,218.17,0.0,,11665.18,,False,0,South Africa,00864b_bd003132,0,
00864b,ZSCJI,South Africa,1747008486.0,1747008486.0,29.631,-27.1324,10965.18,False,168.12,217.29,0.0,,11665.18,,False,0,South Africa,00864b_bd003132,0,
00864b,ZSCJI,South Africa,1747008610.0,1747008610.0,29.5016,-27.2812,10965.18,False,168.75,217.57,0.0,,11665.18,,False,0,South Africa,00864b_bd003132,0,
00864b,ZSCJI,South Africa,1747008733.0,1747008733.0,29.3735,-27.4276,10965.18,False,168.25,217.92,0.0,,11665.18,,False,0,South Africa,00864b_bd003132,0,
00864b,ZSCJI,South Africa,1747008840.0,1747008840.0,29.2619,-27.5554,10965.18,False,167.21,217.75,0.0,,11665.18,,False,0,South Africa,00864b_bd003132,0,
00864b,ZSCJI,South Africa,1747008929.0,1747008929.0,29.17,-27.6597,10965.18,False,165.19,218.3,0.0,,11665.18,,False,0,South Africa,00864b_bd003132,0,
0086f6,LNK150S,South Africa,1746921600.0,1746921600.0,28.216,-25.9815,2880.36,False,119.19,324.66,0.0,,3580.36,,False,0,South Africa,0086f6_604e6826,0,
0086f6,LNK150S,South Africa,1746921723.0,1746921723.0,28.1134,-25.8488,3726.18,False,174.4,325.09,0.0,,4426.18,,False,0,South Africa,0086f6_604e6826,0,
