icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,country,trajectory_id,is_spoofed,spoof_category
008256,GWS202,South Africa,1735171200.0,1735171200.0,28.2462,-26.109,2004.06,False,76.67,16.37,0.0,,2704.06,,False,0,South Africa,008256_9de6f91d,0,
008256,GWS202,South Africa,1735171321.0,1735171321.0,28.216,-26.0234,2743.2,False,114.09,320.86,0.0,,3443.2,,False,0,South Africa,008256_9de6f91d,0,
008256,GWS202,South Africa,1735171440.0,1735171440.0,28.1326,-25.9301,2743.2,False,106.86,321.25,0.0,,3443.2,,False,0,South Africa,008256_9de6f91d,0,
008256,GWS202,South Africa,1735171556.0,1735171556.0,28.1535,-25.8244,2522.22,False,105.31,20.29,0.0,,3222.22,,False,0,South Africa,008256_9de6f91d,0,
008256,GWS202,South Africa,1735171671.0,1735171671.0,28.1884,-25.7374,2346.96,False,83.95,19.32,0.0,,3046.96,,False,0,South Africa,008256_9de6f91d,0,
008256,GWS202,South Africa,1735171777.0,1735171777.0,28.2196,-25.6596,2324.1,False,91.6,19.35,0.0,,3024.1,,False,0,South Africa,008256_9de6f91d,0,
008256,GWS202,South Africa,1735171902.0,1735171902.0,28.2391,-25.5725,1706.88,False,73.77,320.09,0.0,,2406.88,,False,0,South Africa,008256_9de6f91d,0,
008256,GWS202,South Africa,1735171929.0,1735171929.0,28.2209,-25.5667,1539.24,False,76.62,284.78,0.0,,2239.24,,False,0,South Africa,008256_9de6f91d,0,
00827f,ZSNHX,South Africa,1733356800.0,1733356800.0,29.3005,-25.205,6705.6,False,116.88,242.76,0.0,,7405.6,,False,0,South Africa,00827f_f7532eac,0,
00827f,ZSNHX,South Africa,1733356909.0,1733356909.0,29.1896,-25.2565,6705.6,False,115.5,242.98,0.0,,7405.6,,False,0,South Africa,00827f_f7532eac,0,
00827f,ZSNHX,South Africa,1733357038.0,1733357038.0,29.057,-25.3177,6705.6,False,115.26,243.21,0.0,,7405.6,,False,0,South Africa,00827f_f7532eac,0,
00827f,ZSNHX,South Africa,1733357147.0,1733357147.0,28.9473,-25.3682,6705.6,False,112.05,242.96,0.0,,7405.6,,False,0,South Africa,00827f_f7532eac,0,
00827f,ZSNHX,South Africa,1733357271.0,1733357271.0,28.8265,-25.4238,6705.6,False,109.05,243.07,0.0,,7405.6,,False,0,South Africa,00827f_f7532eac,0,
00827f,ZSNHX,South Africa,1733357401.0,1733357401.0,28.7125,-25.5028,6324.6,False,121.71,213.62,0.0,,7024.6,,False,0,South Africa,00827f_f7532eac,0,
00827f,ZSNHX,South Africa,1733357526.0,1733357526.0,28.628,-25.6173,5692.14,False,121.99,213.82,0.0,,6392.14,,False,0,South Africa,00827f_f7532eac,0,
00827f,ZSNHX,South Africa,1733357640.0,1733357640.0,28.5509,-25.7216,5113.02,False,119.71,213.96,0.0,,5813.02,,False,0,South Africa,00827f_f7532eac,0,
00827f,ZSNHX,South Africa,1733357759.0,1733357759.0,28.5016,-25.8408,4526.28,False,115.56,192.86,0.0,,5226.28,,False,0,South Africa,00827f_f7532eac,0,
00869f,NUA0588,South Africa,1734134400.0,1734134400.0,2.8019,6.493,4267.2,False,193.49,268.63,0.0,,4967.2,,False,0,Nigeria,00869f_b6527d28,1,Altitude increase
00869f,NUA0588,South Africa,1734134514.0,1734134514.0,2.6168,6.4433,4267.2,False,179.32,250.21,0.0,,4967.2,,False,0,Benin,00869f_b6527d28,1,Altitude increase
00869f,NUA0588,South Africa,1734134630.0,1734134630.0,2.4495,6.3827,4267.2,False,168.12,249.96,0.0,,4967.2,,False,0,Benin,00869f_b6527d28,1,Altitude increase
00869f,NUA0588,South Africa,1734134735.0,1734134735.0,2.2936,6.3467,11000.0,False,170.84,260.99,0.0,,11700.0,,False,0,Benin,00869f_b6527d28,1,Altitude increase
00869f,NUA0588,South Africa,1734134825.0,1734134825.0,2.0941,6.315,6500.0,False,181.84,260.88,0.0,,7200.0,,False,0,Benin,00869f_b6527d28,1,Altitude increase
00869f,NUA0588,South Africa,1734134981.0,1734134981.0,1.8936,6.2833,5379.72,False,202.06,261.07,0.0,,6079.72,,False,0,Benin,00869f_b6527d28,1,Altitude increase
00869f,NUA0588,South Africa,1734135100.0,1734135100.0,1.6801,6.2495,6477.0,False,204.68,261.03,0.0,,7177.0,,False,0,Togo,00869f_b6527d28,1,Altitude increase
00869f,NUA0588,South Africa,1734135204.0,1734135204.0,1.4862,6.2188,7231.38,False,211.02,260.88,0.0,,7931.38,,False,0,Togo,00869f_b6527d28,1,Altitude increase
00869f,NUA0588,South Africa,1734135303.0,1734135303.0,1.2991,6.1891,7315.2,False,210.51,260.01,0.0,,8015.2,,False,0,Togo,00869f_b6527d28,1,Altitude increase
008b25,ZUMFA,South Africa,1734134400.0,1734134400.0,18.8084,-33.9447,495.3,False,36.12,342.6,0.0,,1195.3,,False,0,South Africa,008b25_0c880362,0,
008b25,ZUMFA,South Africa,1734134518.0,1734134518.0,18.7974,-33.9073,495.3,False,35.94,346.76,0.0,,1195.3,,False,0,South Africa,008b25_0c880362,0,
008b25,ZUMFA,South Africa,1734134623.0,1734134623.0,18.7835,-33.8768,495.3,False,37.1,326.31,0.0,,1195.3,,False,0,South Africa,008b25_0c880362,0,
008b25,ZUMFA,South Africa,1734134741.0,1734134741.0,18.7594,-33.8447,487.68,False,32.29,329.35,0.0,,1187.68,,False,0,South Africa,008b25_0c880362,0,
008b25,ZUMFA,South Africa,1734134840.0,1734134840.0,18.7421,-33.8196,396.24,False,27.44,329.59,0.0,,1096.24,,False,0,South Africa,008b25_0c880362,0,
008d43,ZSEZY,South Africa,1733875200.0,1733875200.0,18.6014,-33.9637,160.02,False,75.5,347.01,0.0,,860.02,,False,0,South Africa,008d43_b2fff962,0,
008d43,ZSEZY,South Africa,1733875306.0,1733875306.0,18.5758,-33.8689,1661.16,False,121.42,347.02,0.0,,2361.16,,False,0,South Africa,008d43_b2fff962,0,
008d43,ZSEZY,South Africa,1733875432.0,1733875432.0,18.6072,-33.7124,3253.74,False,162.26,12.45,0.0,,3953.74,,False,0,South Africa,008d43_b2fff962,0,
008d43,ZSEZY,South Africa,1733875552.0,1733875552.0,18.6585,-33.5169,4274.82,False,193.85,12.41,0.0,,4974.82,,False,0,South Africa,008d43_b2fff962,0,
008d43,ZSEZY,South Africa,1733875668.0,1733875668.0,18.6993,-33.3148,5280.66,False,199.24,357.78,0.0,,5980.66,,False,0,South Africa,008d43_b2fff962,0,
