icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,country,trajectory_id,is_spoofed,spoof_category
00802a,ZSMBJ,South Africa,1749340800.0,1749340800.0,28.0265,-26.0858,2186.94,False,66.25,13.93,0.0,,2886.94,,False,0,South Africa,00802a_9476229f,0,
00802a,ZSMBJ,South Africa,1749340923.0,1749340923.0,28.047,-26.0111,2194.56,False,70.37,13.53,0.0,,2894.56,,False,0,South Africa,00802a_9476229f,0,
00802a,ZSMBJ,South Africa,1749341040.0,1749341040.0,28.0646,-25.9403,2072.64,False,67.13,13.29,0.0,,2772.64,,False,0,South Africa,00802a_9476229f,0,
00802a,ZSMBJ,South Africa,1749341150.0,1749341150.0,28.0403,-25.9083,1912.62,False,58.97,218.27,0.0,,2612.62,,False,0,South Africa,00802a_9476229f,0,
00802a,ZSMBJ,South Africa,1749341280.0,1749341280.0,28.0718,-25.9147,1752.6,False,47.67,341.76,0.0,,2452.6,,False,0,South Africa,00802a_9476229f,0,
00802a,ZSMBJ,South Africa,1749341308.0,1749341308.0,28.0671,-25.9036,1699.26,False,45.38,327.03,0.0,,2399.26,,False,0,South Africa,00802a_9476229f,0,
00808c,LNK021A,South Africa,1749081600.0,1749081600.0,28.2686,-26.0133,2506.98,False,115.24,0.0,0.0,,3206.98,,False,0,South Africa,00808c_fc8471d7,0,
00808c,LNK021A,South Africa,1749081726.0,1749081726.0,28.2695,-25.8588,3787.14,False,146.62,0.2,0.0,,4487.139999999999,,False,0,South Africa,00808c_fc8471d7,0,
00808c,LNK021A,South Africa,1749081848.0,1749081848.0,28.2708,-25.6831,5013.96,False,175.43,0.5,0.0,,5713.96,,False,0,South Africa,00808c_fc8471d7,0,
00808c,LNK021A,South Africa,1749081970.0,1749081970.0,28.2724,-25.4813,6347.46,False,187.77,0.31,0.0,,7047.46,,False,0,South Africa,00808c_fc8471d7,0,
00808c,LNK021A,South Africa,1749082089.0,1749082089.0,28.2739,-25.2723,7421.88,False,202.18,0.29,0.0,,8121.88,,False,0,South Africa,00808c_fc8471d7,0,
00808c,LNK021A,South Africa,1749082212.0,1749082212.0,28.2756,-25.0432,8404.86,False,211.96,0.42,0.0,,9104.86,,False,0,South Africa,00808c_fc8471d7,0,
00808c,LNK021A,South Africa,1749082336.0,1749082336.0,28.2774,-24.8059,9380.22,False,209.38,0.42,0.0,,10080.22,,False,0,South Africa,00808c_fc8471d7,0,
00808c,LNK021A,South Africa,1749082455.0,1749082455.0,28.2791,-24.5749,9928.86,False,217.1,0.41,0.0,,10628.86,,False,0,South Africa,00808c_fc8471d7,0,
00808c,LNK021A,South Africa,1749082581.0,1749082581.0,28.2809,-24.3249,10355.58,False,224.82,0.39,0.0,,11055.58,,False,0,South Africa,00808c_fc8471d7,0,
00808c,LNK021A,South Africa,1749082700.0,1749082700.0,28.2826,-24.0798,10668.0,False,232.53,0.38,0.0,,11368.0,,False,0,South Africa,00808c_fc8471d7,0,
00808c,LNK021A,South Africa,1749082823.0,1749082823.0,28.2846,-23.8188,11049.0,False,234.59,0.38,0.0,,11749.0,,False,0,South Africa,00808c_fc8471d7,0,
00808c,LNK021A,South Africa,1749082941.0,1749082941.0,28.2863,-23.5771,11277.6,False,228.93,0.39,0.0,,11977.6,,False,0,South Africa,00808c_fc8471d7,0,
00808c,LNK021A,South Africa,1749083060.0,1749083060.0,28.2881,-23.3292,11277.6,False,230.99,0.38,0.0,,11977.6,,False,0,South Africa,00808c_fc8471d7,0,
00808c,LNK021A,South Africa,1749083187.0,1749083187.0,28.29,-23.062,11277.6,False,231.5,0.38,0.0,,11977.6,,False,0,South Africa,00808c_fc8471d7,0,
00808c,LNK021A,South Africa,1749083199.0,1749083199.0,28.2902,-23.0381,11277.6,False,230.99,0.38,0.0,,11977.6,,False,0,South Africa,00808c_fc8471d7,0,
